CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290651,2014,2014-09-15,0103,2014-04-04,1223,57,30,5,5,6,0103,0,0,0,,0,005,"SACRAMENTO ST","BANCROFT WY",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.28157997,37.865799940000002
6291872,2014,2015-01-23,0103,2014-09-21,0815,59,15,7,5,6,0103,0,0,0,,0,002,"EUNICE ST","SPRUCE ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,12,22450,A,N,D,G,A,A,H,-,B,A,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.26661987999999,37.886049939999999
6292119,2015,2015-04-24,0103,2015-01-13,1843,8,30,2,5,6,0103,0,0,0,,0,004,"UNIVERSITY AV","MCGEE AV",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,09,21804,A,F,D,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.2775199,37.87103999
6384214,2014,2014-06-10,0103,2014-01-15,1906,109,26,3,5,6,0103,0,0,0,,0,016,"10TH ST","ALLSTON WY",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21955,,F,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.29242994000001,37.866179899999999
6384234,2014,2014-06-10,0103,2014-01-03,1453,8,33,5,5,6,0103,0,0,0,,0,014,"CARLETON ST","SACRAMENTO ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.28041985,37.859589980000003
6393420,2014,2014-06-05,0102,2014-01-02,1515,JT0616,5,4,5,3,0102,0,0,0,,0,002,JACKSON,SOLANO,0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,A,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,ALBANY,-122.30156986,37.889799910000001
6393498,2014,2014-06-19,0102,2014-02-07,1803,JT0628,4,5,5,3,0102,0,0,0,,0,002,"SANTA FE","SOLANO AV",190.00,S,N,B,C,N,,,,,,,,,,N,3,0,1,2,A,-,11,21955,,N,G,B,D,B,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,ALBANY,-122.28862719,37.89032426
6396251,2014,2014-06-05,0103,2014-01-29,1733,8,29,3,5,6,0103,0,0,0,,0,005,"MILVIA ST","BANCROFT WY",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.27026992,37.867249950000001
6396252,2014,2014-06-10,0103,2014-01-04,0651,133,22,6,5,6,0103,0,0,0,,0,017,"SAN PABLO AV","VIRGINIA ST",18.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,G,B,B,A,H,-,B,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.29357562,37.873381879999997
6396255,2014,2014-06-05,0103,2014-01-29,2141,14,29,3,5,6,0103,0,0,0,,0,005,"HASTE ST","SHATTUCK AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.26750994,37.864879989999999
