CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6290651,1,1,Y,M,56,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1998,DODGE,D,22,,B,,-,-,2014
6290651,2,2,N,M,98,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,1,0,B,,-,N,60,,W,,-,-,2014
6291872,1,4,Y,M,62,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,1,0,B,,-,L,04,,W,,-,-,2014
6291872,2,1,N,M,63,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,VOLKSWAGEN,A,01,,W,,-,-,2014
6292119,1,1,N,-,998,G,G,E,-,-,,-,-,-,,19,20001,A,A,-,0,0,B,,-,A,01,,,,-,-,2015
6292119,2,4,Y,M,64,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,1,0,B,,-,L,04,,W,,-,-,2015
6384214,1,2,Y,M,17,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2014
6384214,2,1,N,-,998,G,G,-,-,-,,-,-,-,-,"- ",,,N,-,0,0,B,,-,D,22,,,,-,-,2014
6384234,1,1,Y,M,51,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2007,FORD,D,22,,B,,-,-,2014
6384234,2,2,N,F,64,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2014
6393420,1,1,Y,M,69,A,-,S,M,G,Y,-,3,-,,34,21950,A,A,E,0,0,E,2006,VOLVO,A,01,,W,,-,-,2014
6393420,2,2,N,M,71,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2014
6393498,1,2,Y,F,57,-,,-,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,,,-,-,2014
6393498,2,1,N,M,36,A,-,S,M,H,Y,-,3,-,-,"- ",,,-,-,0,0,B,2012,TOYOTA,A,01,,W,,-,-,2014
6396251,1,4,Y,M,15,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,E,,-,L,04,,W,,-,-,2014
6396251,2,1,N,F,31,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2013,NISSAN,A,07,,W,,-,-,2014
6396252,1,1,Y,M,30,A,-,S,P,G,Y,-,3,-,-,"- ",,,-,-,0,0,E,2003,JEEP,A,01,,W,,-,-,2014
6396252,2,2,N,M,41,A,-,E,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,B,,-,-,2014
6396255,1,1,Y,M,35,A,-,W,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2013,TOYOTA,A,01,,A,,-,-,2014
6396255,2,2,N,F,22,A,-,E,-,-,O,-,2,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2014
6396256,1,1,Y,M,48,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2001,KIA,A,07,,H,,-,-,2014
6396256,2,2,N,F,24,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,L,,-,N,60,,A,,-,-,2014
6396260,1,1,Y,M,42,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2002,HONDA,A,01,,W,,-,-,2014
6396260,2,4,N,M,41,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,L,04,,O,,-,-,2014
6396264,1,1,Y,M,63,A,-,S,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,E,2012,HONDA,A,01,,W,,-,-,2014
6396264,2,2,N,F,20,A,-,E,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,A,,-,-,2014
6396276,1,1,Y,F,17,A,-,S,M,G,Y,-,3,-,-,"- ",,,E,M,0,0,E,2006,TOYOTA,A,01,,W,,-,-,2014
6396276,2,2,N,F,62,A,-,-,-,-,O,-,3,-,-,"- ",,,M,-,0,1,R,,-,N,60,,W,,-,-,2014
6396280,1,1,Y,F,68,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2006,HYUNDAI,A,01,,A,,-,-,2014
6396280,2,4,N,F,26,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2014
6396288,1,1,Y,M,54,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,1997,HONDA,A,01,,B,,-,-,2014
6396288,2,2,N,F,11,-,,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,B,,-,-,2014
6396296,1,1,Y,F,57,A,-,N,M,P,Y,-,3,-,-,"- ",,,N,-,0,0,O,1990,TOYOTA,A,01,,W,,-,-,2014
6396296,2,4,N,F,62,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2014
