CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6408656,2014,2014-06-11,0705,2014-01-15,1710,E138,,3,5,3,0705,0,0,0,,0,010,"ASHBURY AV","LYNN AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,A,07,0,0,1,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.29266986,37.900229959999997
6487206,2014,2014-07-28,0705,2014-05-02,1536,E191,PATRO,5,5,3,0705,0,0,0,,0,012,"COLUSA AV","COLUSA AV 540",13.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,A,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",,
6492365,2014,2014-07-21,0705,2014-04-16,0740,117,TRAFF,3,5,3,0705,0,0,0,,0,011,"KEY BL","KNOTT AV",615.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,3,A,-,"- ",,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.31897309,37.928614320000001
6499011,2014,2015-10-23,0705,2014-04-19,2110,E147,,6,5,3,0705,0,0,0,,0,010,"FAIRMONT AV","KEARNEY ST",113.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,F,A,B,B,A,H,-,C,D,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.30125599,37.901024669999998
6503588,2014,2016-03-30,0705,2014-04-14,2119,E138,,1,5,3,0705,0,0,0,,0,011,"RT 123","WALDO AV",10.00,N,N,C,-,Y,CC,4,123,-,-,0.840,I,5,N,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,B,H,-,C,D,0,Y,,,,Y,Y,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.30723457000001,37.909310470000001
6503591,2014,2016-03-30,0705,2014-04-07,1753,E184,BAY,1,5,3,0705,0,0,0,,0,010,"RT 123","FAIRMONT AV",0.00,,Y,A,-,Y,CC,4,123,-,-,0.180,I,5,N,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.30256645999999,37.900611490000003
6503592,2014,2016-03-30,0705,2014-04-25,1628,E181,PATRO,5,5,3,0705,0,0,0,,0,010,"RT 123","SOUTH PROLONGATION OF CARLSON BL",249.00,S,N,B,-,Y,CC,4,123,-,-,0.010,H,-,N,N,4,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.30159475000001,37.898515830000001
6506327,2014,2014-07-18,0705,2014-04-03,1100,117,TRAFF,4,5,3,0705,0,0,0,,0,012,"TULARE AV","JORDAN AV",0.00,,Y,A,B,N,,,,,,,,,,N,3,0,1,2,A,-,09,21800,B,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.31394998,37.931299989999999
6506460,2014,2014-07-18,0705,2014-04-23,1655,134,,3,5,3,0705,0,0,0,,0,011,"SAN PABLO AV","OHIO AV",270.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21651,B,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.32232999999999,37.930802030000002
6542728,2014,2014-08-20,0705,2014-06-06,0830,E188,,5,5,3,0705,0,0,0,,0,012,"MADERA DR","ARLINGTON BL",187.00,W,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,"- ",,,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA","EL CERRITO",-122.29891166,37.92873728
