CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6408656,1,1,Y,F,28,A,-,E,M,G,Y,-,3,-,-,"- ",,,F,-,0,0,D,2013,TOYOTA,A,07,,H,-,-,-,2014
6408656,2,4,N,M,67,A,-,N,-,-,O,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2014
6487206,1,2,Y,F,13,A,-,-,-,-,O,-,3,-,-,"- ",,,F,-,0,1,R,,-,N,60,,O,-,-,-,2014
6487206,2,1,N,F,53,A,-,N,M,E,Y,-,3,-,-,"- ",,,N,-,0,0,B,2012,MERCEDES-BENZ,A,01,,W,,-,-,2014
6492365,1,1,Y,M,65,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,I,2006,HONDA,A,01,,A,,-,-,2014
6492365,2,4,N,F,59,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,W,,-,-,2014
6492365,3,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1987,CHEVROLET,D,22,,,,-,-,2014
6499011,1,1,Y,-,998,G,G,W,-,-,,-,-,-,-,"- ",,,N,-,0,0,B,,TOYOTA,A,01,,,,-,-,2014
6499011,2,2,N,M,20,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,W,,-,-,2014
6503588,1,1,Y,F,67,B,-,N,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,B,2009,FORD,A,01,,W,,-,-,2014
6503588,2,2,N,M,58,B,-,-,-,-,O,-,3,-,-,"- ",,,-,-,0,1,R,,-,N,60,,O,,-,-,2014
6503591,1,1,Y,F,64,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,1990,GRUMMAN,A,01,,O,,-,-,2014
6503591,2,2,N,F,80,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,O,,-,-,2014
6503592,1,2,Y,M,31,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2014
6503592,2,1,N,M,87,A,-,N,P,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1988,MERCEDES-BENZ,A,01,,W,,-,-,2014
6506327,1,4,Y,F,28,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,04,,W,,-,-,2014
6506327,2,1,N,F,63,A,-,W,G,-,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,TOYOTA,A,07,,W,,-,-,2014
6506460,1,4,Y,M,21,A,-,S,-,-,O,-,3,-,,31,22107,,A,-,0,1,M,,-,L,04,,B,,-,-,2014
6506460,2,1,N,M,51,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,1997,INFINITI,A,07,,W,,-,-,2014
6542728,1,2,Y,F,9,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2014
6542728,2,1,N,M,57,A,-,W,M,G,Y,-,3,-,-,"- ",,,L,-,0,0,B,1997,TOYOTA,A,01,,O,,-,-,2014
6570187,1,4,Y,M,88,A,-,S,-,-,O,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,H,,-,-,2014
6570187,2,1,N,M,57,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2008,HONDA,A,01,,W,,-,-,2014
6570191,1,4,Y,F,26,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,E,,-,L,04,,W,,-,-,2014
