CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292202,2015,2015-07-31,0710,2015-03-01,2005,1586,,7,5,5,0710,0,0,0,,0,,"RHEEM AV","36TH ST",27.00,W,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.33300364,37.9498417
6314737,2014,2014-06-04,0710,2014-01-06,1000,1477,NORTH,1,5,5,0710,0,0,0,,0,007,"37TH ST","MACDONALD AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.33421992,37.933849960000003
6369629,2014,2015-01-09,0710,2014-01-17,1421,1324,NORTH,5,5,5,0710,0,0,0,,0,008,"PARKRIDGE DR","WOODLAND RD",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21956,,N,A,B,E,A,H,-,A,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.3433,37.991860000000003
6370074,2014,2014-06-13,0710,2014-02-03,1247,1380,NORTH,1,5,5,0710,0,0,0,,0,007,"MACDONALD AV","24TH ST",9.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.34630912,37.935566369999997
6370078,2014,2014-06-13,0710,2014-02-05,1722,1494,NORTH,3,5,5,0710,0,0,0,,0,007,"WILSON AV","CLINTON AV",35.00,N,N,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,G,A,B,H,-,B,A,0,,Y,,,Y,Y,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.32846293999999,37.940569930000002
6370268,2014,2014-06-10,0710,2014-01-14,1743,1494,CENTR,2,5,5,0710,0,0,0,,0,006,"NEVIN AV","NEVIN AV BLK 500",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21954,A,N,C,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,,
6381687,2014,2014-06-07,9370,2014-01-25,1727,20356,,6,2,5,0710,0,3,5,,2,010,"VERDE AV","GIARAMITA ST",67.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,4,A,-,01,23152,A,F,G,B,E,A,H,-,B,D,0,Y,,,,Y,Y,A,01,1,0,0,0,1,0,0,0,0,"- ","- ",37.960000000000001,-122.36364,"CONTRA COSTA",RICHMOND,-122.36354237,37.959964839999998
6403735,2014,2014-08-02,0710,2014-02-01,1405,1233,SOUTH,6,5,5,0710,0,0,0,,0,001,"BRICKYARD COVE RD","BRICKYARD WY",0.00,,Y,-,-,N,,,,,,,,,,N,2,0,1,2,A,-,"- ",,,N,H,G,A,-,-,-,-,-,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.38082993,37.9115799
6414013,2014,2014-06-11,0710,2014-01-17,1910,1662,0710,5,5,5,0710,0,0,0,,0,008,"KLOSE WY","KLOSE WY 3200",0.00,,N,A,-,N,,,,,,,,,,N,3,0,3,4,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,1,2,0,3,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.32147694,37.981902839999997
6414016,2014,2014-07-23,0710,2014-01-25,1602,1546,CENTR,6,5,5,0710,0,0,0,,0,005,"7TH ST","PENNSYLVANIA AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,F,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,,0,0,1,0,1,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.36258986999999,37.942579879999997
