CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
6292202,1,2,Y,M,74,B,-,N,-,-,O,-,3,-,-,"- ",,,N,-,1,0,R,,-,N,60,,W,,-,-,2015
6292202,2,1,N,M,49,A,-,W,M,G,Y,-,3,-,,34,21954,B,A,-,0,0,B,2003,NISSAN,D,22,,O,,-,-,2015
6314737,1,4,Y,M,32,A,-,E,-,-,O,-,1,-,-,"- ",,,F,-,0,1,B,,-,L,04,,H,A,-,-,2014
6314737,2,1,N,M,998,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,1995,FORD,D,22,,H,,-,-,2014
6369629,1,2,Y,M,12,-,-,E,P,-,O,-,3,-,-,"- ",,,E,-,0,1,A,,-,N,60,,W,,-,-,2014
6369629,2,1,N,F,40,D,-,N,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,-,2002,HONDA,A,08,,A,,-,-,2014
6370074,1,1,Y,F,22,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2003,TOYOTA,A,01,,H,,-,-,2014
6370074,2,2,N,M,58,A,-,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2014
6370078,1,4,Y,M,45,C,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,H,,-,L,04,,B,,-,-,2014
6370078,2,1,N,F,25,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,D,2003,MITSUBISHI,A,01,,B,,-,-,2014
6370268,1,2,Y,F,49,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2014
6370268,2,1,N,F,79,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,K,2000,TOYOTA,A,07,,H,,-,-,2014
6381687,1,1,Y,M,27,B,-,W,M,G,N,-,3,-,,31,22107,,A,-,0,0,B,1995,FORD,A,01,,H,,-,-,2014
6381687,2,2,N,M,46,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2014
6381687,3,3,N,-,998,H,H,W,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2006,DODGE,A,01,,,,-,-,2014
6381687,4,3,N,-,998,H,H,W,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,1999,TOYOTA,A,01,,,,-,-,2014
6403735,1,4,Y,M,55,-,,E,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,L,04,,W,,-,-,2014
6403735,2,1,N,F,69,-,,S,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,-,1992,NISSAN,-,,,W,,-,-,2014
6414013,1,1,Y,M,58,A,-,E,M,G,Y,-,3,-,-,"- ",,,E,-,0,0,B,1995,SAAB,A,01,,B,,-,-,2014
6414013,2,2,N,M,19,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2014
6414013,3,2,N,F,10,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,"BATAVUS (MOPED)",N,60,,B,,-,-,2014
6414013,4,2,N,F,27,H,H,N,-,-,O,-,3,-,-,"- ",,,N,-,0,1,R,,-,N,60,,B,,-,-,2014
6414016,1,1,Y,F,998,G,G,S,-,-,,-,-,-,-,"- ",,,F,-,0,0,C,1996,JEEP,-,,,H,-,-,-,2014
6414016,2,2,N,M,33,H,H,E,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,H,,-,-,2014
